hospital;link;ratings;total_reviews;location;rating;review
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;"Pour moi c'est le meilleur hôpital du centre ville depuis mon enfance je me fait soigner la bas. Mais le seul problème c'est l'atente.
Apart ça l'endroit est très magnifique et aérée."
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;J'adore mais de quoi vous parle
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Supert hospital ces l'un des meilleur au senégal
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Parce-que c'est un lieu de soin dexcellence
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;C'est avec un grand respect que les patients sont pris en charge... des équipements de dernière génération sont utilisés pour soigner les malades.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;Bon hôpital. Qualité des soins à améliorer.
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;c est propre et accessible
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Très beau milieu avec beaucoup d'espace verts qui favorise des baumes d'oxygène
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Ce hôpital et vraiment bon en matière de chirurgie car j 'ai deux opérations la bas
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Une structure organisée
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;pckil travail 24h sur 24 sans relache et aide les gens ki en no besoin chapeau a hopital principal de dakar
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Je travaille là-bas
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Propre et organisé
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;L'accueil est bon
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Correct. Le plus grand hôpital du senegal
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 2 étoiles ;"Bsr jm nom jeynab sui ravi davoire ete acouches a se opi
taleef"
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;Parmi les grands hopitaux au sénégal. regroupe d'excellents médecin
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Hôpital organisé avec de bons spécialistes
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 1 étoile ;Bjr vous n'avez pas d'adresse Mail
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Une des plus grande Hopitaux de Dakar
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;J'adore hôpital Prencipal
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Hôpital Militaire de Haut niveau
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;Trop soin
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;parceque je suis agent la bas
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 1 étoile ;Service laisse à désirer
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;Le meilleur
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 1 étoile ;C'est cool
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;J'aime
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 4 étoiles ;L'hôpital de référence
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;La références
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 3 étoiles ;Facile
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;la référence
Hopital Principal de Dakar;https://www.google.com/maps/place/Hopital+Principal+de+Dakar/data=!4m5!3m4!1s0xec172350c61654f:0xc8bb77267bd374f8!8m2!3d14.6613436!4d-17.4347695?authuser=0&hl=fr&rclk=1;4,0;116 avis;Adresse: Rte de la Corniche Estate, Dakar, Sénégal ; 5 étoiles ;"(Traduit par Google) Je ne suis jamais venu ici mais je viens de lire un rapport sur la façon dont votre pays a réagi au coronavirus et en utilisant le bon sens et des mesures proactives que peut-être si d'autres gouvernements sont sages peuvent adopter

(Avis d'origine)
I've never been here but I just read a report about how you're country has responded to the coronavirus and using common sense and proactive measures that maybe if other governments are wise can adopt"
